user_id,full_name,email,phone_number,role,assigned_team,access_level,created_at,last_login,team_user_count,workload_hours,created_month,activity_status
2e625c02-05a1-429e-a22d-934bdfe91a47,Jacqueline Wilson,jacksonarthur@example.org,579.481.4313,0,5,0,2025-03-13 08:24:11.309640,2025-03-06 18:21:26.320961,73,5,3,Inactive
7573f795-0011-4103-a02a-f662465a654b,Zachary Garcia,not_provided@example.com,(302)889-6590x1888,3,3,0,2025-02-13 14:40:08.208872,2025-01-06 11:03:28.618694,52,7,2,Inactive
ce9002c1-dd1c-487f-b51a-10260de61329,Christine Bates,garyzimmerman@example.com,846.283.2778,0,2,2,2025-01-06 20:24:02.867224,2025-01-14 19:35:06.140324,87,5,1,Active
bffbcbea-cd14-4dc4-83a9-cbd76e84e315,Barbara Moreno,richmondbrianna@example.com,(342)308-0757x5593,1,2,1,2025-02-18 03:39:20.440754,2025-01-07 20:26:15.383807,87,8,2,Inactive
1ce06d98-708f-4638-afe5-00d2aefa26f0,Valerie Montoya,angela72@example.com,340.741.9350,2,2,0,2025-01-03 12:05:49.807828,2025-02-18 17:45:18.922116,87,4,1,Inactive
22d9482e-83bd-45ea-a499-0777112d9dd4,Emily Barber,william39@example.org,512.408.7073,2,4,2,2025-03-10 15:37:02.307327,,59,4,3,Inactive
ae2e1f8c-81cd-49e1-97a2-fc8b8addaed6,Erika Mcdonald,ambermeyer@example.net,001-437-495-7354,3,2,0,2025-02-17 19:42:12.016600,2025-02-14 05:51:38.397920,87,7,2,Inactive
b39f98dc-d7ae-4e2a-8d8d-4cbc74c20948,Ruth Hernandez,not_provided@example.com,001-203-491-9966,0,2,2,2025-01-08 19:13:59.505133,2025-03-05 12:56:53.856683,87,5,1,Inactive
8e970821-8542-4064-9cd0-355fa8a46291,Tonya Kline,nancy78@example.com,+1-800-520-3711x7307,2,4,1,2025-03-12 09:07:15.830837,2025-02-12 00:41:43.363610,59,4,3,Active
fffd35a2-c85a-4b5f-89c3-a6eb693b794e,Lisa Turner,jacqueline82@example.com,001-511-507-0014x136,3,1,0,2025-01-03 18:49:30.697837,2025-01-06 05:10:55.496581,84,7,1,Inactive
f2b1219b-5050-40bb-bf9d-f6463f9746b2,Tracy Rodriguez,benjaminhoward@example.com,000-000-0000,2,1,0,2025-01-15 09:26:15.892992,2025-03-19 09:36:21.412131,84,4,1,Inactive
4a88e045-8890-4860-b38f-ac13e63595df,Christopher Gonzalez,sergio89@example.com,369-211-1216x20260,2,4,0,2025-01-05 07:27:42.767270,2025-02-24 19:18:55.734483,59,4,1,Inactive
9f718a7c-8c1f-4db9-93e5-afb5b626826c,Randall Keith,pateldavid@example.org,000-000-0000,4,4,0,2025-03-04 00:31:00.804947,2025-01-18 05:55:33.521474,59,6,3,Active
285325d0-3a57-4c54-9dfb-e06eff4ca9bd,Meredith Andrade,jessicaharris@example.com,379.879.2844x705,0,4,2,2025-01-11 21:53:03.005530,2025-01-19 19:02:14.538105,59,5,1,Inactive
85178347-54f6-4e27-b206-d32a9298967a,Lynn Jordan,douglas59@example.net,+1-939-382-7141x7893,3,0,1,2025-01-14 08:54:10.859303,2025-01-11 23:17:36.338009,75,7,1,Active
544d98ef-72c8-4b72-9094-f8a7123057f5,Jasmine Wilson,shawzachary@example.com,974-542-9299x08848,4,0,1,2025-02-23 01:54:13.040889,2025-03-05 03:15:40.715506,75,6,2,Inactive
37b50e0e-cd1c-4cb3-801b-8afa88b58455,Nicole Gonzalez,robertevans@example.net,8825731742,4,6,0,2025-01-20 06:58:50.223271,2025-01-21 16:51:50.868344,70,6,1,Inactive
816ada59-a7e8-4434-a660-930314102c4c,Jamie Carlson,fyoung@example.org,000-000-0000,3,2,2,2025-03-08 03:12:15.162978,2025-02-01 07:01:53.647197,87,7,3,Active
9d14acdf-416b-4f29-a4f2-b58563d55ab2,Dustin Garcia,jessicagregory@example.org,206-249-3717,2,4,1,2025-02-13 12:13:24.013950,2025-03-07 02:24:12.850937,59,4,2,Inactive
5f74ca9c-2a48-46e9-8b7c-c567738f9037,Alexander Williams,davidalexis@example.com,000-000-0000,2,0,0,2025-02-18 08:47:50.459997,,75,4,2,Inactive
c34d04f2-1394-4d0f-8447-7a8a0163315a,Paula Guerra,nacosta@example.net,001-583-984-3623x7366,4,0,2,2025-02-28 10:11:32.748045,2025-01-02 11:42:48.748690,75,6,2,Active
81f92f71-d7b4-4790-80d1-3b38f54a62ed,Melissa Wilson,albert17@example.org,675.538.0078x173,0,3,0,2025-01-19 23:16:42.594576,2025-01-11 08:20:25.137722,52,5,1,Inactive
f005a708-83d1-4ee6-ab74-25c7671b1add,Tracy Miranda,turnerandrew@example.net,318-813-8031x4611,0,2,1,2025-01-05 05:22:43.418977,2025-01-15 08:46:21.536741,87,5,1,Inactive
b300e5bb-14c9-4b04-8c02-09ef91bdda43,Jennifer Dominguez,taylorgail@example.net,848.322.5752,3,2,2,2025-02-07 05:45:34.521246,2025-01-14 01:30:52.114759,87,7,2,Inactive
fb76f9ee-d867-4ad9-8558-7fe05bf1cfaf,Gregory Mendoza,laurawilson@example.com,437-255-0651x2383,1,6,2,2025-02-07 07:16:26.544380,2025-02-16 04:04:45.904486,70,8,2,Inactive
2b26d628-1e7e-4107-bb67-eaaf617686c6,Terrence Lopez,ryan79@example.org,001-349-309-6305x737,3,0,0,2025-03-18 07:26:03.907698,2025-02-16 19:50:47.876245,75,7,3,Inactive
e1798bfd-f4fe-4b66-a5f3-2feff64f5bc1,Laurie Moore,eduardo72@example.org,971-458-7967,4,0,0,2025-03-13 00:23:36.109363,2025-01-31 12:07:11.393150,75,6,3,Inactive
27797697-4126-48e2-baa4-6f960832e331,David Taylor,not_provided@example.com,499.851.1444x7009,4,2,0,2025-01-28 04:41:48.177632,,87,6,1,Inactive
980eb330-34b5-4549-889b-0853ce7ffaeb,Kevin Smith,olewis@example.com,001-780-699-6332x1721,0,6,0,2025-01-09 13:40:55.669286,,70,5,1,Inactive
dafc48dc-4b1d-4448-b02a-34d81a1cbc08,Unknown,tracyallen@example.org,(678)373-5154x536,2,2,0,2025-01-31 13:28:54.643103,,87,4,1,Inactive
5c369ae9-6e17-4cf7-8fbf-07c482aa3415,William Hall,nathanroach@example.net,412.766.1183x97240,2,0,1,2025-01-11 14:50:34.806328,2025-03-09 00:37:13.866340,75,4,1,Inactive
35fb8857-cecd-4463-bc1c-d68657e23c73,Stacy Santiago,ysmith@example.com,407.577.9105,1,2,1,2025-02-06 19:15:11.517028,2025-03-05 18:38:03.079469,87,8,2,Active
fc88ffe6-5ab6-4959-a78d-b220025a1f8a,Robert Simpson,mitchell85@example.org,830-429-2091x08309,2,4,0,2025-03-07 14:01:25.715909,2025-02-05 19:56:37.422889,59,4,3,Active
50c6b63b-dbe8-4c3a-af3a-986d402f1c3e,Unknown,heatherbaker@example.net,391.271.0381x8763,3,1,0,2025-02-23 09:33:46.458873,2025-01-24 10:07:39.561748,84,7,2,Inactive
10655e24-85ef-4056-ac47-91de7b6521a2,Nicole Brooks,not_provided@example.com,+1-451-959-2912x93018,4,6,0,2025-01-11 19:02:18.760681,2025-02-11 00:19:30.586749,70,6,1,Inactive
48894b6a-841c-4d69-9ea5-84a68d55d94a,Angela Huang,oconnelldana@example.com,719-319-0036x97689,4,0,0,2025-02-28 18:47:04.677604,2025-03-15 06:34:56.013827,75,6,2,Inactive
16968dd7-86ba-4f89-a1a2-e726368c4abe,Marc White,not_provided@example.com,7642686033,1,0,0,2025-02-08 14:19:13.202215,2025-03-12 14:50:59.889553,75,8,2,Active
6ca4a2bf-4f25-4f41-864f-a8dc59be54ba,Timothy Richardson,not_provided@example.com,000-000-0000,2,3,1,2025-01-15 21:34:32.061191,2025-02-14 02:15:38.450590,52,4,1,Inactive
